uniqueid,guess_number,word,guess,condition,trial,time_elapsed,init_entropy,post_entropy,init_w_remaining,post_w_remaining,expected_ent_reduction,random_ent_reduction,max_ent_reduction,min_ent_reduction,quantile_ent_reduction,quantile_ent_reduction_h,quantile_ent_reduction_l,true_ent_reduction,eff_samples
debug05QEW:debugKYVRn,1,deals,raise,TIME,0,4.111000000000001,9.538495049095683,4.292959344023906,12972,182,5.033281919408247,3.9018691957035423,5.185291026326783,1.2450998837830476,0.9942,0.9944,0.994,5.245535705071777,45
debug05QEW:debugKYVRn,2,deals,thump,TIME,0,2.407,4.292959344023906,3.062506353471769,182,76,2.511503268787486,1.777617939801749,3.5375817623336645,0.0,0.8716513394642144,0.8716513394642144,0.8716513394642144,1.2304529905521369,7
debug05QEW:debugKYVRn,3,deals,flock,TIME,0,2.404,3.062506353471769,1.183659256690254,76,18,1.7321072552267258,1.375115172490829,2.892715017765604,0.0,0.663734506197521,0.663734506197521,0.663734506197521,1.8788470967815152,3
debug05QEW:debugKYVRn,4,deals,sales,TIME,0,5.209,1.183659256690254,0.8836307896379937,18,12,0.33444473024278876,0.2965720060647544,1.1713183359952037,0.0,0.702,0.7024,0.7016,0.3000284670522603,2
debug05QEW:debugKYVRn,5,deals,pleas,TIME,0,9.84,0.8836307896379937,0.8773366850889305,12,9,0.00639754834887627,0.1914307408350212,0.8810124588461145,0.0,0.4234306277489004,0.44022391043582565,0.4066373450619752,0.006294104549063206,2
debug05QEW:debugKYVRn,6,deals,nails,TIME,0,7.172999999999999,0.8773366850889305,0.033204755172159144,9,6,0.8525537555412616,0.18365544449728302,0.8757496382327761,0.0,0.898,0.9032,0.8928,0.8441319299167713,21
debug05QEW:debugKYVRn,7,deals,alarm,TIME,0,18.142,0.033204755172159144,0.033204755172159144,6,6,0.0,0.00820833854970056,0.0325440006465342,0.0,0.2682,0.5364,0.0,0.0,3
debug05QEW:debugKYVRn,8,deals,seals,TIME,0,7.2989999999999995,0.033204755172159144,0.033204755172159144,6,6,0.0,0.008435717912559341,0.0325440006465342,0.0,0.2642,0.5284,0.0,0.0,2
debug05QEW:debugKYVRn,9,deals,meals,TIME,0,2.079,0.033204755172159144,0.033204755172159144,6,6,0.0,0.008480670499168808,0.0325440006465342,0.0,0.2614,0.5228,0.0,0.0,2
debug05QEW:debugKYVRn,10,deals,deals,TIME,0,4.127,0.033204755172159144,0.0,6,1,0.029999821652236094,0.008068028957348141,0.0325440006465342,0.0,0.8892,0.9496,0.8288,0.033204755172159144,19
debug05QEW:debugKYVRn,1,shaft,raise,TIME,1,2.2430000000000003,9.538495049095683,4.46603825609246,12972,461,4.737467146705763,3.833829183326861,5.023889032833883,1.4445565946881798,0.9858,0.986,0.9856,5.072456793003223,49
debug05QEW:debugKYVRn,2,shaft,thump,TIME,1,2.915,4.46603825609246,1.886027824453759,461,9,2.6988517206022067,1.911287601874629,3.3826309631668177,0.0,0.891,0.8912,0.8908,2.5800104316387014,14
debug05QEW:debugKYVRn,3,shaft,flock,TIME,1,2.677,1.886027824453759,0.0,9,1,1.838139358203878,0.7904174104422009,1.8720395122443572,0.0,0.9962,0.9964,0.996,1.886027824453759,26
debug05QEW:debugKYVRn,4,shaft,shaft,TIME,1,8.177,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,hairy,raise,TIME,2,1.936,9.538495049095683,1.794143190094204,12972,13,4.682370543566583,3.8266697179416354,5.018756416092244,1.5401010288386872,0.9758,0.976,0.9756,7.74435185900148,37
debug05QEW:debugKYVRn,2,hairy,thump,TIME,2,1.71,1.794143190094204,0.0,13,1,1.0282640807355636,0.5025523882494213,1.7750645406977896,0.0,0.8306677329068373,0.8324670131947222,0.8288684526189524,1.794143190094204,6
debug05QEW:debugKYVRn,3,hairy,flock,TIME,2,2.6519999999999997,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,4,hairy,windy,TIME,2,2.459,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,5,hairy,hairy,TIME,2,4.772,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,draft,raise,TIME,3,1.649,9.538495049095683,4.973246144307675,12972,297,4.846728888033905,3.8326397445398928,5.129257781697025,1.4903055432690515,0.9894,0.9896,0.9892,4.5652489047880085,97
debug05QEW:debugKYVRn,2,draft,thump,TIME,3,3.739,4.973246144307675,2.319530968080268,297,27,2.417104779122064,2.049561793435559,3.718406447407081,0.0,0.6697321071571372,0.6697321071571372,0.6697321071571372,2.653715176227407,3
debug05QEW:debugKYVRn,3,draft,flock,TIME,3,2.1390000000000002,2.319530968080268,0.25613056831180553,27,2,2.174314544011605,1.0705988755037015,2.174314544011605,0.0,0.9998,1.0,0.9996,2.0634003997684625,16
debug05QEW:debugKYVRn,4,draft,windy,TIME,3,2.377,0.25613056831180553,0.0,2,1,0.25613056831180553,0.06884789676221331,0.25613056831180553,0.0,0.8655999999999999,1.0,0.7312,0.25613056831180553,26
debug05QEW:debugKYVRn,5,draft,draft,TIME,3,3.4330000000000003,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,adapt,raise,TIME,4,1.52,9.538495049095683,3.830864708120737,12972,482,4.83052813057082,3.892684034351693,5.142981648457143,1.4885936968565283,0.981,0.9812,0.9808,5.707630340974946,53
debug05QEW:debugKYVRn,2,adapt,thump,TIME,4,3.2319999999999998,3.830864708120737,1.162165333877385,482,10,2.7903222972452326,2.001153459042508,3.451454553473026,0.0,0.868452618952419,0.868452618952419,0.868452618952419,2.668699374243352,8
debug05QEW:debugKYVRn,3,adapt,flock,TIME,4,2.096,1.162165333877385,0.0,10,1,1.0410435775907898,0.6971410776939605,1.1604066343905937,0.0,0.8592,0.8636,0.8548,1.162165333877385,10
debug05QEW:debugKYVRn,4,adapt,windy,TIME,4,2.123,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,5,adapt,plaid,TIME,4,7.456,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,6,adapt,adapt,TIME,4,6.847,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,snore,raise,TIME,5,1.828,9.538495049095683,1.4560889728384672,12972,23,4.940739506715908,3.933377054784576,5.159651973581801,1.4723895407836205,0.9918032786885246,0.9920031987205118,0.9916033586565374,8.082406076257216,63
debug05QEW:debugKYVRn,2,snore,thump,TIME,5,2.339,1.4560889728384672,1.1314286581797757,23,9,1.1501512654414796,0.6324086521958676,1.408051160343047,0.0,0.8201438848920863,0.8201438848920863,0.8201438848920863,0.3246603146586915,9
debug05QEW:debugKYVRn,3,snore,flock,TIME,5,1.9569999999999999,1.1314286581797757,0.889688683798506,9,2,1.020851421563364,0.6067653890482348,1.1185560992067696,0.0,0.9136345461815274,0.9192323070771692,0.9080367852858856,0.2417399743812697,12
debug05QEW:debugKYVRn,4,snore,windy,TIME,5,2.6189999999999998,0.889688683798506,0.0,2,1,0.889688683798506,0.2614638874817681,0.889688683798506,0.0,0.8530587764894043,1.0,0.7061175529788085,0.889688683798506,27
debug05QEW:debugKYVRn,5,snore,snore,TIME,5,7.837000000000001,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug0Gdyl:debugZJHNc,1,smile,fight,TIME,0,20.139,9.538495049095683,5.7812233056858044,12972,1179,3.6745890996579127,3.880106259212319,5.214248139829598,1.261942238654735,0.31939999999999996,0.3196,0.3192,3.757271743409879,2
debug0Gdyl:debugZJHNc,2,smile,yield,TIME,0,30.351999999999997,5.7812233056858044,1.4668101037012544,1179,21,2.99465138809819,3.1265308694215044,4.334950927042817,0.0,0.37179999999999996,0.372,0.3716,4.31441320198455,2
debug0Gdyl:debugZJHNc,3,smile,jails,TIME,0,111.898,1.4668101037012544,0.031583350914667616,21,4,1.2265016254175924,0.7278930154601105,1.4281068106670056,0.0,0.8504598160735706,0.8512594962015194,0.8496601359456217,1.4352267527865867,8
debug0Gdyl:debugZJHNc,4,smile,boils,TIME,0,71.068,0.031583350914667616,0.031583350914667616,4,4,0.0,0.007171404062939061,0.03158335091466761,0.0,0.2814,0.5628,0.0,0.0,2
debug0Gdyl:debugZJHNc,5,smile,prune,TIME,0,165.217,0.031583350914667616,0.021073592014414718,4,3,0.01052898605881287,0.0075103166801354935,0.03158335091466761,0.0,0.6879248300679728,0.8248700519792083,0.5509796081567373,0.010509758900252898,3
debug0Gdyl:debugZJHNc,6,smile,smile,TIME,0,40.684,0.021073592014414718,0.0,3,1,0.021073592014414718,0.004796238124012315,0.021073592014414718,0.0,0.9874,1.0,0.9748,0.021073592014414718,52
debug0Gdyl:debugZJHNc,1,grind,pearl,TIME,1,6.897,9.538495049095683,5.354879330628712,12972,584,4.32324562546131,3.9035432181736396,5.275988471309456,1.6599026804505463,0.7706917233106757,0.7708916433426629,0.7704918032786885,4.183615718466971,4
debug0Gdyl:debugZJHNc,2,grind,right,TIME,1,29.55,5.354879330628712,0.7775601588028251,584,16,3.444282476339096,2.572539091708238,4.227557220407181,0.0,0.8514594162335066,0.8516593362654938,0.8512594962015194,4.577319171825887,8
debug0Gdyl:debugZJHNc,3,grind,grids,TIME,1,20.916999999999998,0.7775601588028251,0.0,16,1,0.7373467851251224,0.37674941811671875,0.7691498379607049,0.0,0.9914,0.9916,0.9912,0.7775601588028251,73
debug0Gdyl:debugZJHNc,4,grind,grind,TIME,1,11.584000000000001,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug0Gdyl:debugZJHNc,1,shaft,pearl,TIME,2,9.53,9.538495049095683,4.108656343133932,12972,292,4.183741767851045,3.840517437257616,5.170106171037256,1.4232086329102205,0.7058,0.706,0.7056,5.429838705961751,3
debug0Gdyl:debugZJHNc,2,shaft,moons,TIME,2,28.8,4.108656343133932,1.1016679267765674,292,30,2.9502972416826716,2.023653629488268,3.4977699194336758,0.0,0.9269999999999999,0.9272,0.9268,3.0069884163573644,12
debug0Gdyl:debugZJHNc,3,shaft,squid,TIME,2,49.75,1.1016679267765674,0.8434349978409637,30,17,0.2784480783443734,0.3883298438183689,1.0680288059823912,0.0,0.411,0.4112,0.4108,0.2582329289356038,2
debug0Gdyl:debugZJHNc,4,shaft,stays,TIME,2,24.316999999999997,0.8434349978409637,0.41719486277602635,17,6,0.41063912361380406,0.2559483899062456,0.8401422989356804,0.0,0.6896,0.6904,0.6888,0.4262401350649373,2
debug0Gdyl:debugZJHNc,5,shaft,water,TIME,2,249.373,0.41719486277602635,0.08181899607418591,6,5,0.34055817605711086,0.1326206423848396,0.4171948627760264,0.0,0.6868,0.7088,0.6648,0.33537586670184044,9
debug0Gdyl:debugZJHNc,6,shaft,white,TIME,2,9.95,0.08181899607418591,0.02056738164717323,5,2,0.05745079939159142,0.024989741752500034,0.08181899607418595,0.0,0.8084,0.8424,0.7744,0.061251614427012685,7
debug0Gdyl:debugZJHNc,7,shaft,shaft,TIME,2,59.148999999999994,0.02056738164717323,0.0,2,1,0.02056738164717323,0.0033730505901364096,0.02056738164717323,0.0,0.9179999999999999,1.0,0.836,0.02056738164717323,59
debug0Gdyl:debugZJHNc,1,early,pearl,TIME,3,6.626,9.538495049095683,2.5251908605145856,12972,34,4.347916272608865,3.9279234056179235,5.0157927105123745,1.671125568399986,0.7702,0.7704,0.77,7.013304188581097,4
